query_id,relevant_works,intent,query,measurement_status,engine,model,search_mode,run_at_utc,raw_response_path,work_mentioned,primary_source_cited,project_page_cited,returned_source_urls,description_correct,notes
Q01,mqud,dataset,Is there a dataset of questions scientists ask when interpreting figures in research papers?,not measured,,,,,,,,,,,
Q02,mqud,evaluation,How can I evaluate whether a model asks useful questions about a scientific figure beyond describing its caption?,not measured,,,,,,,,,,,
Q03,contextweaver,method,What methods help a coding agent retain useful observations over a long software engineering task?,not measured,,,,,,,,,,,
Q04,contextweaver,method,How can dependencies between earlier reasoning steps guide what an LLM agent keeps in memory?,not measured,,,,,,,,,,,
Q05,qudsim,metric,How can I measure whether two texts have similar discourse structure even when they discuss different topics?,not measured,,,,,,,,,,,
Q06,qudsim,finding,Is there research showing that language models repeat the same discourse structures across different writing tasks?,not measured,,,,,,,,,,,
Q07,qsalience,method,How can a system decide which reader questions would be most useful to answer when expanding a summary?,not measured,,,,,,,,,,,
Q08,qsalience,dataset,Are there human annotations of how much answering a question helps someone understand a text?,not measured,,,,,,,,,,,
Q09,qudeval,evaluation,What criteria can human annotators use to evaluate questions generated by a discourse parser?,not measured,,,,,,,,,,,
Q10,qudeval,evaluation,How do I check whether an implicit question is grounded in its anchor sentence and answered by a later sentence?,not measured,,,,,,,,,,,
Q11,elabqud,dataset,Is there annotated data connecting explanations added during text simplification to the questions they answer?,not measured,,,,,,,,,,,
Q12,elabqud,method,How can implicit reader questions help identify what an explanation in a simplified news article is clarifying?,not measured,,,,,,,,,,,
Q13,qud-parsing,method,Are there discourse parsers that represent a document as questions and answers connecting its sentences?,not measured,,,,,,,,,,,
Q14,qud-parsing,method,How can I predict which earlier sentence raises the question answered by a later sentence in a document?,not measured,,,,,,,,,,,
Q15,bilingual-disfluencies,finding,What has research found about word surprisal and disfluencies in monolingual versus bilingual speech?,not measured,,,,,,,,,,,
Q16,bilingual-disfluencies,method,Which linguistic features have been studied alongside language model surprisal to predict speech disfluencies?,not measured,,,,,,,,,,,
Q17,qsalience;mqud,comparison,What datasets study the questions readers ask while interpreting text or scientific figures?,not measured,,,,,,,,,,,
Q18,qudeval;qsalience,comparison,How does evaluating whether a question fits its context differ from evaluating whether its answer would be useful?,not measured,,,,,,,,,,,
Q19,qud-parsing;qudsim,comparison,How have question-based discourse representations been used to parse texts and compare generated documents?,not measured,,,,,,,,,,,
Q20,elabqud;qsalience,comparison,What research connects implicit reader questions with text simplification and summary expansion?,not measured,,,,,,,,,,,
